"O Level"
"CSE"
"GCSE"
"AS Level"
"A Level"
"Advanced Extension Award (AEA)"
"Diploma"
"Bachelor's Degree"
"Entry Level Qualification"
"Foundation Degree"
"HNC"
"HND"
"International Baccalaureate"
"Key Skills Qualification"
"Postgraduate Certificate"
"Postgraduate Diploma"
"Master's Degree"
"Doctorate"
"Postgraduate Qualification"
"Skills for Life (Basic Skills Qualification)"
"NVQ"
"SVQ"
"Vocational Qualification"
"Apprenticeship"
"Higher Level Qualification"
"Engineering Council Examination"
"NPTC"
"Senior Award"
"Institute of Leadership & Management (ILM)"
"a!b*c#d"

