"Additional Mathematics (Further Pure Mathematics for Edexcel IGCSE)"
"Ancient Greek"
"Applied Business (Double Award)"
"Applied ICT (Double Award)"
"Arabic"
"Archaeology"
"Art"
"Astronomy"
"Biblical Hebrew"
"Buddhism"
"Business & Communication Systems"
"Business Studies"
"Chemistry"
"Chinese Language"
"Citizenship (Personal Social Health Education - PSHE)"
"Classical Civilisation"
"D & T - CAD / CAM"
"D & T - Electronics"
"D & T - Electronics with Resistant Materials"
"D & T - Engineering & Manufacturing (Double Award)"
"D & T - Food Technology"
"D & T - Graphic Design"
"D & T - Information Technology (IT)"
"D & T - Product Design"
"D & T - Resistant Materials"
"D & T - Systems & Control Technology"
"D & T - Textiles"
"Danish"
"Design & Technology"
"Drama"
"Dutch"
"Economics"
"English"
"English Literature"
"French"
"General Studies"
"Geography"
"Geology"
"German"
"Gujarati"
"Health & Social Care (Double Award)"
"Hindi"
"Hinduism"
"History"
"History - Economic & Social"
"History - Modern World"
"History - School's History Project"
"Home Economics: Child Development"
"Home Economics: Food & Nutrition"
"Human Biology"
"Human Physiology & Health"
"Humanities"
"Indonesian"
"Information & Communication Technology (ICT)"
"Irish"
"Islamic Studies"
"Italian"
"Japanese"
"Judaism"
"Korean"
"Latin"
"Law"
"Maltese"
"Mathematics"
"Modern Greek"
"Modern Hebrew"
"Nautical Studies"
"Outdoor Pursuits - Birdwatching - Fishing"
"Persian"
"Philosophy & Ethics"
"Physical Education (PE)"
"Physics"
"Polish"
"Portugese"
"Psychology"
"Punjabi"
"Religious Studies (RE)"
"Rural & Agricultural Science"
"Russian"
"Science"
"Science (Double Award)"
"Sikhism"
"Social Science"
"Sociology"
"Somali"
"Spanish"
"Sports Studies"
"Statistics"
"Tamil"
"Turkish"
"Urdu"
"Welsh"
